DATE,INFLATION,NY
1/1/11,220.223,462700
2/1/11,221.309,466200
3/1/11,223.467,465600
4/1/11,224.906,469500
5/1/11,225.964,471300
6/1/11,225.722,468600
7/1/11,225.922,469500
8/1/11,226.545,470800
9/1/11,226.889,476700
10/1/11,226.421,471700
11/1/11,226.23,457000
12/1/11,225.672,447600
1/1/12,226.665,442700
2/1/12,227.663,447800
3/1/12,229.392,450900
4/1/12,230.085,459200
5/1/12,229.815,470800
6/1/12,229.478,477600
7/1/12,229.104,484300
8/1/12,230.379,482400
9/1/12,231.407,487100
10/1/12,231.317,492200
11/1/12,230.221,503200
12/1/12,229.601,498800
1/1/13,230.28,492800
2/1/13,232.166,475700
3/1/13,232.773,477100
4/1/13,232.531,480400
5/1/13,232.945,483400
6/1/13,233.504,481800
7/1/13,233.596,474600
8/1/13,233.877,483000
9/1/13,234.149,489100
10/1/13,233.546,499000
11/1/13,233.069,485700
12/1/13,233.049,481700
1/1/14,233.916,474000
2/1/14,234.781,485900
3/1/14,236.293,483900
4/1/14,237.072,481000
5/1/14,237.9,481500
6/1/14,238.343,491800
7/1/14,238.25,500500
8/1/14,237.852,500700
9/1/14,238.031,496100
10/1/14,237.433,489500
11/1/14,236.151,492300
12/1/14,234.812,493700
1/1/15,233.707,503200
2/1/15,234.722,506600
3/1/15,236.119,507300
4/1/15,236.599,508700
5/1/15,237.805,509700
6/1/15,238.638,517300
7/1/15,238.654,519300
8/1/15,238.316,522600
9/1/15,237.945,524500
10/1/15,237.838,528600
11/1/15,237.336,533300
12/1/15,236.525,538400
1/1/16,236.916,527200
2/1/16,237.111,547200
3/1/16,238.132,549900
4/1/16,239.261,560200
5/1/16,240.229,538800
6/1/16,241.018,536200
7/1/16,240.628,532900
8/1/16,240.849,528900
9/1/16,241.428,522900
10/1/16,241.729,530400
11/1/16,241.353,533600
12/1/16,241.432,536100
1/1/17,242.839,533000
2/1/17,243.603,531400
3/1/17,243.801,534000
4/1/17,244.524,534600
5/1/17,244.733,543300
6/1/17,244.955,544200
7/1/17,244.786,556500
8/1/17,245.519,552500
9/1/17,246.819,552400
10/1/17,246.663,540900
11/1/17,246.669,543100
12/1/17,246.524,544800
1/1/18,247.867,555000
2/1/18,248.991,553200
3/1/18,249.554,559400
4/1/18,250.546,555700
5/1/18,251.588,556300
6/1/18,251.989,547000
7/1/18,252.006,544300
8/1/18,252.146,548100
9/1/18,252.439,558700
10/1/18,252.885,560700
11/1/18,252.038,563100
12/1/18,251.233,564200
1/1/19,251.712,557700
2/1/19,252.776,561100
3/1/19,254.202,560100
4/1/19,255.548,571000
5/1/19,256.092,559800
6/1/19,256.143,563200
7/1/19,256.571,570500
8/1/19,256.558,572800
9/1/19,256.759,569900
10/1/19,257.346,560800
11/1/19,257.208,571500
12/1/19,256.974,575100
1/1/20,257.971,571700
2/1/20,258.678,568300
3/1/20,258.115,573600
