DATE,PRICE_PER_GALLON
4/1/1993,1.078
5/1/1993,1.1
6/1/1993,1.097
7/1/1993,1.078
8/1/1993,1.062
9/1/1993,1.05
10/1/1993,1.092
11/1/1993,1.066
12/1/1993,1.014
1/1/1994,0.998
2/1/1994,1.009
3/1/1994,1.008
4/1/1994,1.027
5/1/1994,1.047
6/1/1994,1.078
7/1/1994,1.106
8/1/1994,1.155
9/1/1994,1.144
10/1/1994,1.114
11/1/1994,1.119
12/1/1994,1.129
1/1/1995,1.13
2/1/1995,1.12
3/1/1995,1.119
4/1/1995,1.157
5/1/1995,1.225
6/1/1995,1.239
7/1/1995,1.201
8/1/1995,1.17
9/1/1995,1.158
10/1/1995,1.134
11/1/1995,1.109
12/1/1995,1.118
1/1/1996,1.137
2/1/1996,1.136
3/1/1996,1.183
4/1/1996,1.275
5/1/1996,1.324
6/1/1996,1.3
7/1/1996,1.272
8/1/1996,1.251
9/1/1996,1.247
10/1/1996,1.249
11/1/1996,1.278
12/1/1996,1.282
1/1/1997,1.283
2/1/1997,1.276
3/1/1997,1.251
4/1/1997,1.244
5/1/1997,1.245
6/1/1997,1.242
7/1/1997,1.22
8/1/1997,1.268
9/1/1997,1.276
10/1/1997,1.242
11/1/1997,1.216
12/1/1997,1.177
1/1/1998,1.132
2/1/1998,1.096
3/1/1998,1.064
4/1/1998,1.077
5/1/1998,1.105
6/1/1998,1.103
7/1/1998,1.094
8/1/1998,1.065
9/1/1998,1.049
10/1/1998,1.059
11/1/1998,1.036
12/1/1998,0.987
1/1/1999,0.98
2/1/1999,0.962
3/1/1999,1.022
4/1/1999,1.171
5/1/1999,1.171
6/1/1999,1.154
7/1/1999,1.197
8/1/1999,1.26
9/1/1999,1.295
10/1/1999,1.285
11/1/1999,1.292
12/1/1999,1.313
1/1/2000,1.329
2/1/2000,1.415
3/1/2000,1.556
4/1/2000,1.506
5/1/2000,1.526
6/1/2000,1.666
7/1/2000,1.591
8/1/2000,1.506
9/1/2000,1.588
10/1/2000,1.571
11/1/2000,1.557
12/1/2000,1.483
1/1/2001,1.487
2/1/2001,1.49
3/1/2001,1.45
4/1/2001,1.591
5/1/2001,1.738
6/1/2001,1.658
7/1/2001,1.466
8/1/2001,1.461
9/1/2001,1.557
10/1/2001,1.357
11/1/2001,1.212
12/1/2001,1.127
1/1/2002,1.148
2/1/2002,1.155
3/1/2002,1.289
4/1/2002,1.439
5/1/2002,1.434
6/1/2002,1.424
7/1/2002,1.438
8/1/2002,1.438
9/1/2002,1.441
10/1/2002,1.486
11/1/2002,1.461
12/1/2002,1.429
1/1/2003,1.5
2/1/2003,1.655
3/1/2003,1.734
4/1/2003,1.633
5/1/2003,1.539
6/1/2003,1.533
7/1/2003,1.554
8/1/2003,1.661
9/1/2003,1.721
10/1/2003,1.606
11/1/2003,1.555
12/1/2003,1.522
1/1/2004,1.614
2/1/2004,1.69
3/1/2004,1.778
4/1/2004,1.839
5/1/2004,2.023
6/1/2004,2.013
7/1/2004,1.954
8/1/2004,1.92
9/1/2004,1.912
10/1/2004,2.042
11/1/2004,2.023
12/1/2004,1.887
1/1/2005,1.875
2/1/2005,1.953
3/1/2005,2.12
4/1/2005,2.285
5/1/2005,2.205
6/1/2005,2.198
7/1/2005,2.333
8/1/2005,2.529
9/1/2005,2.951
10/1/2005,2.765
11/1/2005,2.303
12/1/2005,2.229
1/1/2006,2.36
2/1/2006,2.326
3/1/2006,2.468
4/1/2006,2.787
5/1/2006,2.953
6/1/2006,2.93
7/1/2006,3.025
8/1/2006,2.999
9/1/2006,2.606
10/1/2006,2.293
11/1/2006,2.275
12/1/2006,2.359
1/1/2007,2.289
2/1/2007,2.323
3/1/2007,2.609
4/1/2007,2.891
5/1/2007,3.187
6/1/2007,3.102
7/1/2007,3.011
8/1/2007,2.834
9/1/2007,2.849
10/1/2007,2.853
11/1/2007,3.128
12/1/2007,3.07
1/1/2008,3.095
2/1/2008,3.078
3/1/2008,3.293
4/1/2008,3.507
5/1/2008,3.815
6/1/2008,4.105
7/1/2008,4.114
8/1/2008,3.833
9/1/2008,3.756
10/1/2008,3.112
11/1/2008,2.208
12/1/2008,1.745
1/1/2009,1.84
2/1/2009,1.975
3/1/2009,2.011
4/1/2009,2.102
5/1/2009,2.316
6/1/2009,2.681
7/1/2009,2.582
8/1/2009,2.67
9/1/2009,2.609
10/1/2009,2.605
11/1/2009,2.706
12/1/2009,2.663
1/1/2010,2.769
2/1/2010,2.699
3/1/2010,2.824
4/1/2010,2.9
5/1/2010,2.89
6/1/2010,2.785
7/1/2010,2.782
8/1/2010,2.783
9/1/2010,2.757
10/1/2010,2.853
11/1/2010,2.913
12/1/2010,3.048
1/1/2011,3.148
2/1/2011,3.264
3/1/2011,3.615
4/1/2011,3.852
5/1/2011,3.96
6/1/2011,3.735
7/1/2011,3.705
8/1/2011,3.696
9/1/2011,3.667
10/1/2011,3.506
11/1/2011,3.443
12/1/2011,3.326
1/1/2012,3.44
2/1/2012,3.64
3/1/2012,3.907
4/1/2012,3.958
5/1/2012,3.791
6/1/2012,3.596
7/1/2012,3.498
8/1/2012,3.78
9/1/2012,3.91
10/1/2012,3.812
11/1/2012,3.521
12/1/2012,3.381
1/1/2013,3.391
2/1/2013,3.736
3/1/2013,3.779
4/1/2013,3.638
5/1/2013,3.675
6/1/2013,3.689
7/1/2013,3.661
8/1/2013,3.645
9/1/2013,3.604
10/1/2013,3.42
11/1/2013,3.322
12/1/2013,3.357
1/1/2014,3.392
2/1/2014,3.434
3/1/2014,3.606
4/1/2014,3.735
5/1/2014,3.75
6/1/2014,3.766
7/1/2014,3.688
8/1/2014,3.565
9/1/2014,3.484
10/1/2014,3.255
11/1/2014,2.997
12/1/2014,2.632
1/1/2015,2.208
2/1/2015,2.301
3/1/2015,2.546
4/1/2015,2.555
5/1/2015,2.802
6/1/2015,2.885
7/1/2015,2.88
8/1/2015,2.726
9/1/2015,2.462
10/1/2015,2.387
11/1/2015,2.26
12/1/2015,2.144
1/1/2016,2.057
2/1/2016,1.872
3/1/2016,2.071
4/1/2016,2.216
5/1/2016,2.371
6/1/2016,2.467
7/1/2016,2.345
8/1/2016,2.284
9/1/2016,2.327
10/1/2016,2.359
11/1/2016,2.295
12/1/2016,2.366
1/1/2017,2.458
2/1/2017,2.416
3/1/2017,2.437
4/1/2017,2.528
5/1/2017,2.503
6/1/2017,2.46
7/1/2017,2.414
8/1/2017,2.494
9/1/2017,2.761
10/1/2017,2.621
11/1/2017,2.678
12/1/2017,2.594
1/1/2018,2.671
2/1/2018,2.705
3/1/2018,2.709
4/1/2018,2.873
5/1/2018,2.987
6/1/2018,2.97
7/1/2018,2.928
8/1/2018,2.914
9/1/2018,2.915
10/1/2018,2.943
11/1/2018,2.736
12/1/2018,2.457
1/1/2019,2.338
2/1/2019,2.393
3/1/2019,2.594
4/1/2019,2.881
5/1/2019,2.946
6/1/2019,2.804
7/1/2019,2.823
8/1/2019,2.707
9/1/2019,2.681
10/1/2019,2.724
11/1/2019,2.693
12/1/2019,2.645
1/1/2020,2.636
2/1/2020,2.533
3/1/2020,2.329
4/1/2020,1.938
5/1/2020,1.961
6/1/2020,2.17
7/1/2020,2.272
8/1/2020,2.272
9/1/2020,2.274
10/1/2020,2.248
11/1/2020,2.2
12/1/2020,2.284
1/1/2021,2.42
2/1/2021,2.587
3/1/2021,2.898
4/1/2021,2.948
5/1/2021,3.076
6/1/2021,3.157
7/1/2021,3.231
8/1/2021,3.255
9/1/2021,3.272
10/1/2021,3.384
11/1/2021,3.491
12/1/2021,3.406
1/1/2022,3.413
2/1/2022,3.611
