DATE,AVG_MORTGAGE_RATE
1998-01-01,7.3
1998-02-01,7.2
1998-03-01,7.2
1998-04-01,7.2
1998-05-01,7.3
1998-06-01,7.2
1998-07-01,7.2
1998-08-01,7.2
1998-09-01,7.1
1998-10-01,6.9
1998-11-01,6.9
1998-12-01,7.0
1999-01-01,7.0
1999-02-01,7.0
1999-03-01,7.1
1999-04-01,7.1
1999-05-01,7.2
1999-06-01,7.4
1999-07-01,7.7
1999-08-01,7.8
1999-09-01,8.0
1999-10-01,8.0
1999-11-01,8.0
1999-12-01,8.0
2000-01-01,8.2
2000-02-01,8.5
2000-03-01,8.5
2000-04-01,8.4
2000-05-01,8.5
2000-06-01,8.6
2000-07-01,8.5
2000-08-01,8.4
2000-09-01,8.3
2000-10-01,8.2
2000-11-01,8.1
2000-12-01,8.0
2022-01-01,7.6
2022-02-01,7.4
2022-03-01,7.3
2022-04-01,7.3
2022-05-01,7.3
2022-06-01,7.3
2022-07-01,7.3
2022-08-01,7.3
2022-09-01,7.1
2022-10-01,7.0
2022-11-01,6.8
2022-12-01,6.9
2022-01-02,7.1
2022-02-02,7.0
2022-03-02,7.0
2022-04-02,7.1
2022-05-02,7.0
2022-06-02,6.9
2022-07-02,6.7
2022-08-02,6.5
2022-09-02,6.4
2022-10-02,6.3
2022-11-02,6.3
2022-12-02,6.2
2022-01-03,6.1
2022-02-03,6.0
2022-03-03,5.9
2022-04-03,5.9
2022-05-03,5.8
2022-06-03,5.6
2022-07-03,5.5
2022-08-03,5.8
2022-09-03,6.1
2022-10-03,6.1
2022-11-03,6.1
2022-12-03,6.0
2022-01-04,6.1
2022-02-04,6.0
2022-03-04,5.9
2022-04-04,5.8
2022-05-04,6.0
2022-06-04,6.3
2022-07-04,6.3
2022-08-04,6.2
2022-09-04,6.1
2022-10-04,6.1
2022-11-04,6.1
2022-12-04,6.2
2022-01-05,6.3
2022-02-05,6.2
2022-03-05,6.3
2022-04-05,6.4
2022-05-05,6.3
2022-06-05,6.2
2022-07-05,6.2
2022-08-05,6.3
2022-09-05,6.4
2022-10-05,6.6
2022-11-05,6.8
2022-12-05,7.0
2022-01-06,7.0
2022-02-06,7.0
2022-03-06,7.1
2022-04-06,7.0
2022-05-06,7.1
2022-06-06,7.2
2022-07-06,7.3
2022-08-06,7.3
2022-09-06,7.1
2022-10-06,7.1
2022-11-06,7.1
