DATE,AVG_MORTGAGE_RATE
1/1/1998,7.3
2/1/1998,7.2
3/1/1998,7.2
4/1/1998,7.2
5/1/1998,7.3
6/1/1998,7.2
7/1/1998,7.2
8/1/1998,7.2
9/1/1998,7.1
10/1/1998,6.9
11/1/1998,6.9
12/1/1998,7
1/1/1999,7
2/1/1999,7
3/1/1999,7.1
4/1/1999,7.1
5/1/1999,7.2
6/1/1999,7.4
7/1/1999,7.7
8/1/1999,7.8
9/1/1999,8
10/1/1999,8
11/1/1999,8
12/1/1999,8
1/1/2000,8.2
2/1/2000,8.5
3/1/2000,8.5
4/1/2000,8.4
5/1/2000,8.5
6/1/2000,8.6
7/1/2000,8.5
8/1/2000,8.4
9/1/2000,8.3
10/1/2000,8.2
11/1/2000,8.1
12/1/2000,8
1/1/2001,7.6
2/1/2001,7.4
3/1/2001,7.3
4/1/2001,7.3
5/1/2001,7.3
6/1/2001,7.3
7/1/2001,7.3
8/1/2001,7.3
9/1/2001,7.1
10/1/2001,7
11/1/2001,6.8
12/1/2001,6.9
1/1/2002,7.1
2/1/2002,7
3/1/2002,7
4/1/2002,7.1
5/1/2002,7
6/1/2002,6.9
7/1/2002,6.7
8/1/2002,6.5
9/1/2002,6.4
10/1/2002,6.3
11/1/2002,6.3
12/1/2002,6.2
1/1/2003,6.1
2/1/2003,6
3/1/2003,5.9
4/1/2003,5.9
5/1/2003,5.8
6/1/2003,5.6
7/1/2003,5.5
8/1/2003,5.8
9/1/2003,6.1
10/1/2003,6.1
11/1/2003,6.1
12/1/2003,6
1/1/2004,6.1
2/1/2004,6
3/1/2004,5.9
4/1/2004,5.8
5/1/2004,6
6/1/2004,6.3
7/1/2004,6.3
8/1/2004,6.2
9/1/2004,6.1
10/1/2004,6.1
11/1/2004,6.1
12/1/2004,6.2
1/1/2005,6.3
2/1/2005,6.2
3/1/2005,6.3
4/1/2005,6.4
5/1/2005,6.3
6/1/2005,6.2
7/1/2005,6.2
8/1/2005,6.3
9/1/2005,6.4
10/1/2005,6.6
11/1/2005,6.8
12/1/2005,7
1/1/2006,7
2/1/2006,7
3/1/2006,7.1
4/1/2006,7
5/1/2006,7.1
6/1/2006,7.2
7/1/2006,7.3
8/1/2006,7.3
9/1/2006,7.1
10/1/2006,7.1
11/1/2006,7.1
12/1/2006,7
1/1/2007,7
2/1/2007,6.9
3/1/2007,6.8
4/1/2007,6.7
5/1/2007,6.7
6/1/2007,6.8
7/1/2007,7
8/1/2007,7
9/1/2007,6.9
10/1/2007,6.8
11/1/2007,6.7
12/1/2007,6.5
1/1/2008,6.4
2/1/2008,6.1
3/1/2008,6.3
4/1/2008,6.2
5/1/2008,6.2
6/1/2008,6.3
7/1/2008,6.5
8/1/2008,6.6
9/1/2008,6.5
10/1/2008,6.4
11/1/2008,6.4
12/1/2008,6
1/1/2009,5.5
2/1/2009,5.4
3/1/2009,5.4
4/1/2009,5.2
5/1/2009,5.1
6/1/2009,5.3
7/1/2009,5.5
8/1/2009,5.5
9/1/2009,5.4
10/1/2009,5.3
11/1/2009,5.2
12/1/2009,5.1
1/1/2010,5.2
2/1/2010,5.2
3/1/2010,5.1
4/1/2010,5.1
5/1/2010,5.1
6/1/2010,5
7/1/2010,4.9
8/1/2010,4.7
9/1/2010,4.6
10/1/2010,4.5
11/1/2010,4.4
12/1/2010,4.5
1/1/2011,4.8
2/1/2011,4.9
3/1/2011,5
4/1/2011,4.9
5/1/2011,4.9
6/1/2011,4.7
7/1/2011,4.6
8/1/2011,4.6
9/1/2011,4.3
10/1/2011,4.2
11/1/2011,4.2
12/1/2011,4.2
1/1/2012,4.2
2/1/2012,4.1
3/1/2012,4.1
4/1/2012,4.1
5/1/2012,4
6/1/2012,3.9
7/1/2012,3.8
8/1/2012,3.7
9/1/2012,3.7
10/1/2012,3.7
11/1/2012,3.6
12/1/2012,3.5
1/1/2013,3.6
2/1/2013,3.6
3/1/2013,3.7
4/1/2013,3.7
5/1/2013,3.6
6/1/2013,3.8
7/1/2013,4.2
8/1/2013,4.5
9/1/2013,4.6
10/1/2013,4.5
11/1/2013,4.4
12/1/2013,4.4
1/1/2014,4.5
2/1/2014,4.5
