RegionID,City,State,Zip Code
6181,New York,New York,10001
17426,Chicago,Illinois,60601
18959,Las Vegas,Nevada,89101
38128,Dallas,Texas,75201
10920,Columbus,Ohio,43085
12455,Louisville,Kentucky,40202
13121,Orlando,Florida,32801
11093,Denver,Colorado,80202
41568,Washington,District of Columbia,20001
13373,Portland,Oregon,97201
6118,Nashville,Tennessee,37201
5976,Milwaukee,Wisconsin,53202
40152,Omaha,Nebraska,68102
33225,Oklahoma City,Oklahoma,73102
54047,Raleigh,North Carolina,27601
4172,Colorado Springs,Colorado,80902
5983,Minneapolis,Minnesota,55401
44055,Baton Rouge,Louisiana,70801
16846,Aurora,Colorado,80010
16764,Anaheim,California,92801
11722,Greensboro,North Carolina,27395
25574,Lexington,Kentucky,40502
18170,Fort Wayne,Indiana,46802
20313,Saint Paul,Minnesota,55101
19533,Naples,Florida,34102
47945,Tallahassee,Florida,32301
11867,Henderson,Nevada,89002
32503,Lincoln,Nebraska,68502
20604,Spokane,Washington,99201
53856,Pensacola,Florida,32501
398849,Madison,Wisconsin,53703
52650,Irvine,California,92602
26187,North Las Vegas,Nevada,89030
30258,Arlington,Virginia,22201
7222,Springfield,Missouri,65802
17759,Des Moines,Iowa,50307
14701,Woodbridge,Virginia,22191
24821,Gainesville,Florida,32601
34937,Yonkers,New York,10701
10215,Aurora,Illinois,60502
21320,Wilmington,North Carolina,28401
25218,Huntington Beach,California,92646
38438,Eugene,Oregon,97401
33501,Port Saint Lucie,Florida,34952
54288,Salinas,California,93901
52998,Little Rock,Arkansas,72201
31471,Evansville,Indiana,47708
40202,Overland Park,Kansas,66204
20317,Salem,Oregon,97301
30381,Beaverton,Oregon,97003
11337,Escondido,California,92025
4054,Charleston,South Carolina,29401
19523,Murfreesboro,Tennessee,37127
40492,Rancho Cucamonga,California,91701
11529,Fredericksburg,Virginia,22401
5424,Killeen,Texas,76541
40227,Palmdale,California,93550
10843,Clarksville,Tennessee,37040
39931,Naperville,Illinois,60540
38328,Edmond,Oklahoma,73003
182023,Henrico,Virginia,23075
5519,Lakewood,Colorado,80722
20008,Pomona,California,91766
8097,Ann Arbor,Michigan,48103
54626,Sunnyvale,California,94085
398300,Lansing,Michigan,48906
51297,Cary,North Carolina,27511
10918,Columbia,Missouri,65201
12694,Mesquite,Texas,75149
5914,Metairie,Louisiana,70001
54722,Torrance,California,90501
51447,Clearwater,Florida,33755
24174,Compton,California,90220
45888,Inglewood,California,90301
33230,Olathe,Kansas,66061
20793,Thornton,Colorado,80241
30543,Boulder,Colorado,80301
17321,Carrollton,Texas,75006
34278,Thousand Oaks,California,91360
27683,Victorville,California,92392
11786,Hamilton,Ohio,45011
13234,Pearland,Texas,77581
54522,Springfield,Illinois,62701
16726,Allentown,Pennsylvania,18101
6103,Murrieta,California,92562
32238,Joliet,Illinois,60431
33136,Norman,Oklahoma,73026
33024,Nampa,Idaho,83651
