DATE,INFLATION,NY,CA,NV
1/1/2011,220.223,462700,188500,115600
2/1/2011,221.309,466200,189400,114000
3/1/2011,223.467,465600,186300,110800
4/1/2011,224.906,469500,177700,109600
5/1/2011,225.964,471300,167900,108200
6/1/2011,225.722,468600,174700,107500
7/1/2011,225.922,469500,182900,105500
8/1/2011,226.545,470800,189300,102700
9/1/2011,226.889,476700,190000,102200
10/1/2011,226.421,471700,189800,103100
11/1/2011,226.23,457000,180500,104500
12/1/2011,225.672,447600,175000,105600
1/1/2012,226.665,442700,169200,105500
2/1/2012,227.663,447800,173400,106500
3/1/2012,229.392,450900,171400,108300
4/1/2012,230.085,459200,174000,110100
5/1/2012,229.815,470800,175500,112200
6/1/2012,229.478,477600,183800,113700
7/1/2012,229.104,484300,188700,115200
8/1/2012,230.379,482400,191600,116600
9/1/2012,231.407,487100,194300,119000
10/1/2012,231.317,492200,188300,122400
11/1/2012,230.221,503200,187900,127300
12/1/2012,229.601,498800,180700,131600
1/1/2013,230.28,492800,184900,134800
2/1/2013,232.166,475700,185400,137100
3/1/2013,232.773,477100,188700,138900
4/1/2013,232.531,480400,191400,141600
5/1/2013,232.945,483400,198900,144600
6/1/2013,233.504,481800,213600,150400
7/1/2013,233.596,474600,223800,154700
8/1/2013,233.877,483000,230700,157600
9/1/2013,234.149,489100,228100,157900
10/1/2013,233.546,499000,232600,160400
11/1/2013,233.069,485700,230500,162900
12/1/2013,233.049,481700,227600,165200
1/1/2014,233.916,474000,223800,166200
2/1/2014,234.781,485900,229800,167100
3/1/2014,236.293,483900,231900,168900
4/1/2014,237.072,481000,232700,170300
5/1/2014,237.9,481500,232000,170300
6/1/2014,238.343,491800,239900,162600
7/1/2014,238.25,500500,239300,162500
8/1/2014,237.852,500700,242300,166700
9/1/2014,238.031,496100,246600,174600
10/1/2014,237.433,489500,251200,176200
11/1/2014,236.151,492300,250900,175900
12/1/2014,234.812,493700,247000,178900
1/1/2015,233.707,503200,248800,178300
2/1/2015,234.722,506600,248900,179300
3/1/2015,236.119,507300,250300,179400
4/1/2015,236.599,508700,252800,183100
5/1/2015,237.805,509700,251300,183900
6/1/2015,238.638,517300,247200,181100
7/1/2015,238.654,519300,238200,183800
8/1/2015,238.316,522600,230600,184600
9/1/2015,237.945,524500,227000,190700
10/1/2015,237.838,528600,222200,188900
11/1/2015,237.336,533300,212400,191600
12/1/2015,236.525,538400,210400,191600
1/1/2016,236.916,527200,208400,195600
2/1/2016,237.111,547200,214800,197700
3/1/2016,238.132,549900,211000,197800
4/1/2016,239.261,560200,212200,196200
5/1/2016,240.229,538800,214300,195100
6/1/2016,241.018,536200,215800,195300
7/1/2016,240.628,532900,219300,195100
8/1/2016,240.849,528900,219000,194600
9/1/2016,241.428,522900,221500,195800
10/1/2016,241.729,530400,223900,197900
11/1/2016,241.353,533600,231000,199700
12/1/2016,241.432,536100,240300,201400
1/1/2017,242.839,533000,245700,204400
2/1/2017,243.603,531400,241800,207300
3/1/2017,243.801,534000,236900,212700
4/1/2017,244.524,534600,229500,214700
5/1/2017,244.733,543300,225200,217100
6/1/2017,244.955,544200,219800,219300
7/1/2017,244.786,556500,216800,222600
8/1/2017,245.519,552500,219500,225300
9/1/2017,246.819,552400,217600,228300
10/1/2017,246.663,540900,220900,230700
11/1/2017,246.669,543100,221900,233700
12/1/2017,246.524,544800,227300,236900
1/1/2018,247.867,555000,230400,239900
2/1/2018,248.991,553200,238500,243800
3/1/2018,249.554,559400,247400,245600
4/1/2018,250.546,555700,250000,248400
5/1/2018,251.588,556300,244600,252000
6/1/2018,251.989,547000,242100,255500
7/1/2018,252.006,544300,248600,256700
8/1/2018,252.146,548100,254400,257700
9/1/2018,252.439,558700,256800,259500
10/1/2018,252.885,560700,253600,263500
11/1/2018,252.038,563100,256600,264000
12/1/2018,251.233,564200,237600,264400
1/1/2019,251.712,557700,245700,265900
2/1/2019,252.776,561100,263200,267700
3/1/2019,254.202,560100,290800,269400
4/1/2019,255.548,571000,292000,266600
5/1/2019,256.092,559800,276000,266700
6/1/2019,256.143,563200,271500,266000
7/1/2019,256.571,570500,266500,268200
8/1/2019,256.558,572800,264900,268400
9/1/2019,256.759,569900,265000,270400
10/1/2019,257.346,560800,264100,272200
11/1/2019,257.208,571500,264300,274400
12/1/2019,256.974,575100,270000,277500
1/1/2020,257.971,571700,281400,278900
2/1/2020,258.678,568300,302900,283000
3/1/2020,258.115,573600,309200,284700
