DATE,CASTHPI
1975-01-01,41.68
1975-04-01,42.74
1975-07-01,44.27
1975-10-01,45.77
1976-01-01,47.79
1976-04-01,50.25
1976-07-01,53.56
1976-10-01,55.58
1977-01-01,58.02
1977-04-01,63.01
1977-07-01,67.94
1977-10-01,70.66
1978-01-01,73.21
1978-04-01,76.0
1978-07-01,78.62
1978-10-01,81.8
1979-01-01,84.85
1979-04-01,88.62
1979-07-01,93.1
1979-10-01,96.4
1980-01-01,100.00
1980-04-01,102.86
1980-07-01,106.55
1980-10-01,108.39
1981-01-01,110.42
1981-04-01,112.96
1981-07-01,116.34
1981-10-01,117.53
1982-01-01,104.36
1982-04-01,107.44
1982-07-01,104.91
1982-10-01,115.88
1983-01-01,116.73
1983-04-01,117.43
1983-07-01,117.26
1983-10-01,117.79
1984-01-01,119.51
1984-04-01,120.13
1984-07-01,121.71
1984-10-01,122.79
1985-01-01,124.54
1985-04-01,126.34
1985-07-01,129.2
1985-10-01,130.6
1986-01-01,132.29
1986-04-01,134.83
1986-07-01,137.78
1986-10-01,141.14
1987-01-01,144.76
1987-04-01,148.31
1987-07-01,152.98
1987-10-01,157.3
1988-01-01,163.08
1988-04-01,169.78
1988-07-01,177.85
1988-10-01,187.58
1989-01-01,196.38
1989-04-01,206.03
1989-07-01,217.94
1989-10-01,224.78
1990-01-01,227.56
1990-04-01,228.28
1990-07-01,230.23
1990-10-01,228.67
1991-01-01,228.59
1991-04-01,227.17
1991-07-01,227.17
1991-10-01,228.85
1992-01-01,227.63
1992-04-01,225.28
1992-07-01,224.84
1992-10-01,222.74
1993-01-01,219.29
1993-04-01,217.4
1993-07-01,215.56
1993-10-01,214.28
1994-01-01,212.16
1994-04-01,207.02
1994-07-01,203.96
1994-10-01,201.08
1995-01-01,199.75
1995-04-01,201.65
1995-07-01,203.98
1995-10-01,203.66
1996-01-01,203.63
1996-04-01,201.04
1996-07-01,200.67
1996-10-01,201.72
1997-01-01,202.66
1997-04-01,204.7
1997-07-01,208.75
1997-10-01,212.4
1998-01-01,217.04
1998-04-01,221.78
1998-07-01,227.64
1998-10-01,232.04
1999-01-01,235.53
1999-04-01,239.54
1999-07-01,245.05
1999-10-01,250.25
2000-01-01,261.13
2000-04-01,268.15
2000-07-01,277.15
2000-10-01,285.72
2001-01-01,296.76
2001-04-01,305.84
2001-07-01,312.27
2001-10-01,316.66
2002-01-01,325.12
2002-04-01,336.16
2002-07-01,348.81
2002-10-01,359.01
2003-01-01,367.3
2003-04-01,374.18
2003-07-01,386.87
2003-10-01,411.62
2004-01-01,424.89
2004-04-01,451.49
2004-07-01,497.41
2004-10-01,516.51
2005-01-01,539.06
2005-04-01,570.67
2005-07-01,599.13
2005-10-01,625.85
2006-01-01,638.81
2006-04-01,644.67
2006-07-01,646.79
2006-10-01,643.05
2007-01-01,634.27
2007-04-01,623.63
2007-07-01,600.31
2007-10-01,575.9
2008-01-01,543.64
2008-04-01,498.77
2008-07-01,460.96
2008-10-01,445.09
2009-01-01,441.08
2009-04-01,420.96
2009-07-01,411.67
2009-10-01,413.01
2010-01-01,409.97
2010-04-01,408.77
2010-07-01,411.0
2010-10-01,406.48
2011-01-01,391.99
2011-04-01,385.71
2011-07-01,387.31
2011-10-01,386.13
2012-01-01,381.83
2012-04-01,382.48
2012-07-01,391.4
2012-10-01,399.72
2013-01-01,408.16
2013-04-01,426.93
2013-07-01,448.05
2013-10-01,462.93
2014-01-01,472.58
2014-04-01,485.34
2014-07-01,495.49
2014-10-01,501.1
2015-01-01,506.29
2015-04-01,517.7
2015-07-01,530.92
2015-10-01,538.24
2016-01-01,545.27
2016-04-01,554.9
2016-07-01,567.02
2016-10-01,573.84
2017-01-01,579.88
2017-04-01,591.94
2017-07-01,603.63
2017-10-01,612.35
2018-01-01,622.79
2018-04-01,634.66
2018-07-01,642.7
2018-10-01,642.6
2019-01-01,646.61
2019-04-01,653.22
2019-07-01,660.06
2019-10-01,664.29
2020-01-01,670.48
2020-04-01,678.17
2020-07-01,686.17
2020-10-01,700.21
2021-01-01,719.55
2021-04-01,761.96
2021-07-01,801.31
2021-10-01,833.84
