,RegionID,RegionName,StateName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
0,6181,New York,New York,1,,,,,,,,,,,,457300,462700,466200,465600,469500,471300,468600,469500,470800,476700,471700,457000,447600,442700,447800,450900,459200,470800,477600,484300,482400,487100,492200,503200,498800,492800,475700,477100,480400,483400,481800,474600,483000,489100,499000,485700,481700,474000,485900,483900,481000,481500,491800,500500,500700,496100,489500,492300,493700,503200,506600,507300,508700,509700,517300,519300,522600,524500,528600,533300,538400,527200,547200,549900,560200,538800,536200,532900,528900,522900,530400,533600,536100,533000,531400,534000,534600,543300,544200,556500,552500,552400,540900,543100,544800,555000,553200,559400,555700,556300,547000,544300,548100,558700,560700,563100,564200,557700,561100,560100,571000,559800,563200,570500,572800,569900,560800,571500,575100,571700,568300,573600
1,12447,Los Angeles,California,2,359600,363900,360600,354100,351800,350900,352100,348300,350700,348500,350800,353400,350300,353000,344300,347400,342900,343500,340700,338600,336500,329600,326900,325300,326600,328200,328900,333300,331800,336100,342300,351200,361000,364000,373400,388900,398100,411100,413200,428000,436200,449400,461600,465600,469600,469800,465900,457600,446200,448900,448400,454800,456200,457800,461000,462500,466400,469700,469600,473800,474100,482000,485700,491700,489000,490100,493300,502700,503600,499000,497200,509100,518900,524700,520700,525900,530000,531700,531100,532100,537800,536100,540400,537900,548700,548100,554400,550900,556100,561500,567400,567900,572700,581600,600100,608300,611000,616800,624000,631300,629100,635300,633600,638900,642700,660300,671400,673400,680800,684300,699200,702700,703800,706800,711800,717300,714100,711900,718400,727100,738200,760200,
2,39051,Houston,Texas,3,135000,134900,136200,136400,135700,135000,131100,130900,129300,133400,136000,141900,139700,138100,133200,131100,129900,132100,133800,133900,132400,135200,137100,139300,134900,131300,131400,137400,143500,146100,145600,143700,140200,138300,141800,145200,148800,147600,147700,152100,155400,160100,161900,163500,164800,163800,165200,166500,165700,167800,167700,170500,169900,169000,169100,169400,168200,170400,168500,169100,169000,168400,170500,168100,169700,169700,172000,174500,174000,172500,170800,172600,177800,179000,177100,175200,177700,179500,181600,180500,183700,184700,187400,187700,187800,190200,192200,192900,190400,191600,189600,190500,189300,192000,193500,193200,192700,195200,196300,197800,195500,194300,195000,195300,198100,199900,203200,204000,206600,205100,206800,206200,210100,209700,207400,207600,207000,211400,211500,217700,219200,223800,
3,17426,Chicago,Illinois,4,229600,222400,218900,211900,214600,217800,206800,194500,180100,185400,190000,190400,188500,189400,186300,177700,167900,174700,182900,189300,190000,189800,180500,175000,169200,173400,171400,174000,175500,183800,188700,191600,194300,188300,187900,180700,184900,185400,188700,191400,198900,213600,223800,230700,228100,232600,230500,227600,223800,229800,231900,232700,232000,239900,239300,242300,246600,251200,250900,247000,248800,248900,250300,252800,251300,247200,238200,230600,227000,222200,212400,210400,208400,214800,211000,212200,214300,215800,219300,219000,221500,223900,231000,240300,245700,241800,236900,229500,225200,219800,216800,219500,217600,220900,221900,227300,230400,238500,247400,250000,244600,242100,248600,254400,256800,253600,256600,237600,245700,263200,290800,292000,276000,271500,266500,264900,265000,264100,264300,270000,281400,302900,309200
4,6915,San Antonio,Texas,5,130000,130500,130000,129900,128700,128600,128600,130700,132500,134800,136100,136300,135800,131600,130700,129000,130900,130700,130700,130600,132000,133000,132400,132200,130300,130900,131300,133800,136400,137700,138700,137400,137600,137700,138300,138200,136000,137400,139600,143000,144500,146200,147900,149500,148400,148800,148700,148900,149900,150700,152600,153700,154300,154400,154500,153900,155100,155600,157100,158300,160100,161600,162700,163400,163900,165200,165500,166800,168000,168300,166800,166200,167100,167300,169100,169500,171100,170300,172200,173200,174400,174300,174800,174800,174400,176100,175500,175700,175000,177600,176200,177300,177200,181300,182100,184900,185600,185700,185400,186000,187300,186800,186100,186300,187800,192400,194100,194200,190400,189600,191200,193300,196000,197100,198700,200200,200800,203400,203800,205400,205400,208300,
5,13271,Philadelphia,Pennsylvania,6,122200,113100,113900,116600,120400,118800,115000,108400,106300,101600,106600,102500,106600,104800,108800,107600,107100,107000,104900,106900,106500,107400,103900,104100,104300,101600,100300,102300,107600,106300,105900,108900,108400,105300,103500,108300,109900,107400,102300,105000,105300,109000,109200,111600,111400,113200,114000,117100,118100,117700,122600,121400,122300,117500,117300,119100,118200,119400,115400,116000,114300,110100,113200,115500,121000,119600,119900,120600,123000,124700,124600,119700,124700,122200,123400,115900,120500,121900,124700,124600,127000,123900,125500,126600,131100,134100,136800,138500,139800,141600,142900,144500,143800,143300,146200,144900,148500,140100,140700,135800,141200,140600,142200,140800,142200,142400,147100,150000,153000,153500,154300,156500,158100,161500,163500,162800,160300,162400,171600,177400,184100,188300,
6,40326,Phoenix,Arizona,7,103800,99900,100500,100100,100800,101700,100200,96400,93500,91900,87900,83400,84000,83100,82900,78900,78000,78900,80200,82800,85300,86900,89600,91800,89200,85600,82500,85600,93500,97100,101700,104200,107300,111700,116000,119100,122100,121100,122300,123000,127400,132900,136200,137400,137700,138200,136400,136200,135900,137800,138500,139500,138500,138000,138500,140300,143000,143200,142300,144300,143800,147700,149900,155700,159200,161700,161900,161700,161400,164500,166700,169100,168900,169800,170800,173000,174300,175700,176500,178900,181900,184200,187400,187700,189600,189700,190300,189300,189400,190700,192800,195000,196600,198700,201000,204800,209400,213200,213700,216300,215700,216800,218600,219200,220300,219500,221700,220900,222700,223300,226400,226900,228700,231100,231300,232600,236000,239900,243700,245600,250600,254700,
7,18959,Las Vegas,Nevada,8,123100,123500,123100,124700,126600,126200,123500,121800,119900,118700,117400,116600,115600,114000,110800,109600,108200,107500,105500,102700,102200,103100,104500,105600,105500,106500,108300,110100,112200,113700,115200,116600,119000,122400,127300,131600,134800,137100,138900,141600,144600,150400,154700,157600,157900,160400,162900,165200,166200,167100,168900,170300,170300,162600,162500,166700,174600,176200,175900,178900,178300,179300,179400,183100,183900,181100,183800,184600,190700,188900,191600,191600,195600,197700,197800,196200,195100,195300,195100,194600,195800,197900,199700,201400,204400,207300,212700,214700,217100,219300,222600,225300,228300,230700,233700,236900,239900,243800,245600,248400,252000,255500,256700,257700,259500,263500,264000,264400,265900,267700,269400,266600,266700,266000,268200,268400,270400,272200,274400,277500,278900,283000,284700
8,54296,San Diego,California,9,338800,341700,340700,346200,345200,342600,343600,344700,346900,350200,358100,357900,345200,335700,331300,339700,340200,335900,331300,324700,323100,323500,324800,328300,324100,323700,328600,336600,346300,349500,359000,363300,365100,368800,377300,387800,392700,394400,399300,407700,421200,425200,427700,425000,433200,434300,435500,435400,436900,438400,438300,439700,443200,444500,448000,453600,460000,467200,466800,466000,464700,473600,480500,481000,476200,475700,479800,480600,473300,470100,474700,489200,498300,497300,487800,491500,495400,501500,501600,504200,508200,517300,522700,523900,526600,535000,541100,534700,529200,534400,540900,545700,545000,550800,563600,573400,576100,573000,578500,584100,591000,593500,591900,592700,594800,593200,588600,583400,589300,595300,596300,598000,594200,596300,595300,600500,600800,607000,613300,618300,617000,619200,
9,38128,Dallas,Texas,10,160800,149200,153400,156800,169400,172600,167600,170000,175200,171200,169400,169500,191900,184500,174500,152000,162900,171400,177500,179200,178100,173200,163000,167400,171200,174700,176200,185800,196800,200000,211500,220600,229300,224800,212400,210700,213700,213200,214900,218000,234400,240800,241200,243400,245300,245900,243900,240200,252600,252000,245900,235200,236400,240700,240500,239100,240300,242500,238700,242500,244000,253400,258900,255100,254600,251200,255900,258200,256800,255500,254900,254900,265800,260200,267800,261500,268700,265700,263000,265800,276700,284100,288000,279300,288900,288700,289400,279800,283400,288500,287400,288300,289400,292800,291000,292500,297600,303300,304500,300100,298400,297700,301400,297600,295600,289200,292400,296200,298700,294300,287500,287800,293200,300600,301100,301500,310100,314600,316900,307100,321500,315500,321700
