RegionID,RegionName,StateName,SizeRank,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
6181,New York,New York,1,462700,466200,465600,469500,471300,468600,469500,470800,476700,471700,457000,447600,442700,447800,450900,459200,470800,477600,484300,482400,487100,492200,503200,498800,492800,475700,477100,480400,483400,481800,474600,483000,489100,499000,485700,481700,474000,485900,483900,481000,481500,491800,500500,500700,496100,489500,492300,493700,503200,506600,507300,508700,509700,517300,519300,522600,524500,528600,533300,538400,527200,547200,549900,560200,538800,536200,532900,528900,522900,530400,533600,536100,533000,531400,534000,534600,543300,544200,556500,552500,552400,540900,543100,544800,555000,553200,559400,555700,556300,547000,544300,548100,558700,560700,563100,564200,557700,561100,560100,571000,559800,563200,570500,572800,569900,560800,571500,575100,571700,568300,573600
17426,Chicago,Illinois,4,188500,189400,186300,177700,167900,174700,182900,189300,190000,189800,180500,175000,169200,173400,171400,174000,175500,183800,188700,191600,194300,188300,187900,180700,184900,185400,188700,191400,198900,213600,223800,230700,228100,232600,230500,227600,223800,229800,231900,232700,232000,239900,239300,242300,246600,251200,250900,247000,248800,248900,250300,252800,251300,247200,238200,230600,227000,222200,212400,210400,208400,214800,211000,212200,214300,215800,219300,219000,221500,223900,231000,240300,245700,241800,236900,229500,225200,219800,216800,219500,217600,220900,221900,227300,230400,238500,247400,250000,244600,242100,248600,254400,256800,253600,256600,237600,245700,263200,290800,292000,276000,271500,266500,264900,265000,264100,264300,270000,281400,302900,309200
18959,Las Vegas,Nevada,8,115600,114000,110800,109600,108200,107500,105500,102700,102200,103100,104500,105600,105500,106500,108300,110100,112200,113700,115200,116600,119000,122400,127300,131600,134800,137100,138900,141600,144600,150400,154700,157600,157900,160400,162900,165200,166200,167100,168900,170300,170300,162600,162500,166700,174600,176200,175900,178900,178300,179300,179400,183100,183900,181100,183800,184600,190700,188900,191600,191600,195600,197700,197800,196200,195100,195300,195100,194600,195800,197900,199700,201400,204400,207300,212700,214700,217100,219300,222600,225300,228300,230700,233700,236900,239900,243800,245600,248400,252000,255500,256700,257700,259500,263500,264000,264400,265900,267700,269400,266600,266700,266000,268200,268400,270400,272200,274400,277500,278900,283000,284700
38128,Dallas,Texas,10,191900,184500,174500,152000,162900,171400,177500,179200,178100,173200,163000,167400,171200,174700,176200,185800,196800,200000,211500,220600,229300,224800,212400,210700,213700,213200,214900,218000,234400,240800,241200,243400,245300,245900,243900,240200,252600,252000,245900,235200,236400,240700,240500,239100,240300,242500,238700,242500,244000,253400,258900,255100,254600,251200,255900,258200,256800,255500,254900,254900,265800,260200,267800,261500,268700,265700,263000,265800,276700,284100,288000,279300,288900,288700,289400,279800,283400,288500,287400,288300,289400,292800,291000,292500,297600,303300,304500,300100,298400,297700,301400,297600,295600,289200,292400,296200,298700,294300,287500,287800,293200,300600,301100,301500,310100,314600,316900,307100,321500,315500,321700
10920,Columbus,Ohio,19,89100,86000,79800,79300,78600,82300,84200,87600,87500,86200,85700,86200,85400,83700,83500,89900,97100,101400,103100,102700,102800,100700,101000,97100,101000,95600,95500,89400,95400,101500,107000,112600,110600,106900,103200,100500,102900,103900,108900,111800,114100,116900,117400,117200,116000,118900,120600,121600,118300,138900,139900,141400,123400,124600,124700,123500,122600,121900,119800,119200,121700,125000,127900,129400,129600,129000,129000,130000,132000,134500,136800,138500,140800,138200,137800,134000,135500,134900,137300,140500,142400,143300,142600,144600,147000,148500,147500,144800,142300,143400,145300,148400,148500,148400,149000,150000,150900,153500,157600,157200,154900,152600,154800,158500,157700,162900,166600,172700,175300,173600,177600
12455,Louisville,Kentucky,20,125900,124000,118300,117600,113800,115300,114400,118500,117700,116100,113500,115200,117700,117100,118300,118500,122500,124600,125900,128200,127000,128500,126400,126600,123100,120000,118200,119600,120500,120200,120100,122700,125900,127000,128800,126300,126100,124400,126400,127300,128500,128000,129800,131800,133600,133800,131500,130400,128900,131100,134400,138100,139600,141300,140800,140900,138900,142700,144700,152500,151000,151700,145200,142500,142900,145000,150200,152000,153300,152300,151100,150500,151800,153600,153500,153200,154200,156300,157600,155200,154800,154200,156400,160000,162900,167300,163500,162700,158200,158600,158900,157400,157100,158100,161700,167100,170200,173400,173100,171100,170600,172700,175900,176000,173900,175400,174600,176600,170800,173100,176200
13121,Orlando,Florida,21,82000,82800,85500,87800,88800,87500,87900,86400,89600,88500,98300,98800,102300,96500,96500,95000,96600,102700,107500,110600,108300,109400,111700,114800,123800,127300,130800,124900,122700,121500,126900,133900,139200,138900,139900,142600,141600,143700,140300,145900,146500,149600,148600,147200,149100,151500,151400,151200,151200,154100,156000,158500,159500,160300,161600,164400,166900,169900,172800,174700,176700,176400,176800,176200,177700,179800,182700,183200,184800,185700,188100,189300,191500,191400,193100,193600,196000,198800,201900,204300,202800,203100,203300,208200,213000,223900,229400,234300,231900,234800,235500,237300,237200,237600,239500,240700,239900,241000,238700,239100,240100,244200,244900,241900,241500,243600,247400,251100,254800,263500,270500
11093,Denver,Colorado,23,201400,205300,198800,198500,190900,195200,197500,199900,200400,203000,205900,208700,209500,207200,206400,207900,216800,227700,238300,241900,244700,243200,250100,247600,244700,241400,242800,252600,253600,257900,257400,261100,266500,268000,266700,257300,255300,253600,257100,256200,262000,262600,268500,267400,271000,270700,273500,277700,282500,295000,303300,307500,305300,301600,302900,302200,305700,307500,312700,316000,327100,329500,333400,328800,329800,331700,338500,342100,344400,344900,348700,358000,361600,366700,362600,365900,362600,367400,365800,375700,379000,389100,390600,395400,406300,420200,423600,416300,409800,412400,411500,409500,415800,418200,420600,411800,409700,412000,415500,418200,415800,414800,418100,421400,433300,440500,445400,435500,435100,436900,442700
41568,Washington,District of Columbia,27,401100,386000,376200,362800,370300,378500,380700,383200,384600,383900,379300,379800,382600,391200,381400,386400,389000,397600,401600,408200,415900,420800,422500,428600,441900,453700,455100,451200,443500,447800,451100,453500,459300,453300,458700,456800,461700,460600,461000,468800,474700,479700,480900,483900,479100,480300,480300,481200,490700,486200,495200,490000,497800,505000,498000,501200,495800,501800,498900,498400,491200,500600,493600,501300,499400,505500,510800,519600,524600,534100,529600,534400,537900,535500,540600,529400,529300,521200,523500,519500,521200,518700,513500,512500,508300,512300,510000,520500,525700,524200,524800,521800,517900,518500,529000,538400,538800,542100,549200,554300,547500,540000,532600,530600,542600,548000,566400,577600,580100,575700,586100
13373,Portland,Oregon,28,265700,261000,248100,238300,235400,235300,243100,247400,251000,249700,252200,246500,250600,248500,250600,243200,245700,256500,262800,264700,263800,269200,272500,271600,271200,270500,272500,276500,280100,285200,290700,294400,299700,300600,306300,307000,303900,300400,298200,303800,302000,303700,303300,308900,311900,313200,318900,321300,323100,322300,324900,327100,327800,327700,335300,333400,334400,330900,335000,347500,352700,355000,349800,354100,366100,372100,374200,375000,377200,383400,383600,386600,389300,388600,391500,388900,395800,395700,397500,395800,398300,403800,407800,408600,414000,418900,425600,422500,417300,416100,414700,417400,415400,414800,411600,411300,414500,422200,422600,416100,417200,415100,416500,412900,422100,428900,432200,431900,435400,435200,439500
