DATE,PRICE_PER_GALLON
1993-04-01,1.078
1993-05-01,1.1
1993-06-01,1.097
1993-07-01,1.078
1993-08-01,1.062
1993-09-01,1.05
1993-10-01,1.092
1993-11-01,1.066
1993-12-01,1.014
1994-01-01,0.998
1994-02-01,1.009
1994-03-01,1.008
1994-04-01,1.027
1994-05-01,1.047
1994-06-01,1.078
1994-07-01,1.106
1994-08-01,1.155
1994-09-01,1.144
1994-10-01,1.114
1994-11-01,1.119
1994-12-01,1.129
1995-01-01,1.13
1995-02-01,1.12
1995-03-01,1.119
1995-04-01,1.157
1995-05-01,1.225
1995-06-01,1.239
1995-07-01,1.201
1995-08-01,1.17
1995-09-01,1.158
1995-10-01,1.134
1995-11-01,1.109
1995-12-01,1.118
1996-01-01,1.137
1996-02-01,1.136
1996-03-01,1.183
1996-04-01,1.275
1996-05-01,1.324
1996-06-01,1.3
1996-07-01,1.272
1996-08-01,1.251
1996-09-01,1.247
1996-10-01,1.249
1996-11-01,1.278
1996-12-01,1.282
1997-01-01,1.283
1997-02-01,1.276
1997-03-01,1.251
1997-04-01,1.244
1997-05-01,1.245
1997-06-01,1.242
1997-07-01,1.22
1997-08-01,1.268
1997-09-01,1.276
1997-10-01,1.242
1997-11-01,1.216
1997-12-01,1.177
1998-01-01,1.132
1998-02-01,1.096
1998-03-01,1.064
1998-04-01,1.077
1998-05-01,1.105
1998-06-01,1.103
1998-07-01,1.094
1998-08-01,1.065
1998-09-01,1.049
1998-10-01,1.059
1998-11-01,1.036
1998-12-01,0.987
1999-01-01,0.98
1999-02-01,0.962
1999-03-01,1.022
1999-04-01,1.171
1999-05-01,1.171
1999-06-01,1.154
1999-07-01,1.197
1999-08-01,1.26
1999-09-01,1.295
1999-10-01,1.285
1999-11-01,1.292
1999-12-01,1.313
2000-01-01,1.329
2000-02-01,1.415
2000-03-01,1.556
2000-04-01,1.506
2000-05-01,1.526
2000-06-01,1.666
2000-07-01,1.591
2000-08-01,1.506
2000-09-01,1.588
2000-10-01,1.571
2000-11-01,1.557
2000-12-01,1.483
2022-01-01,1.487
2022-02-01,1.49
2022-03-01,1.45
2022-04-01,1.591
2022-05-01,1.738
2022-06-01,1.658
2022-07-01,1.466
2022-08-01,1.461
2022-09-01,1.557
2022-10-01,1.357
2022-11-01,1.212
2022-12-01,1.127
2022-01-01,1.148
2022-02-01,1.155
2022-03-01,1.289
2022-04-01,1.439
2022-05-01,1.434
2022-06-01,1.424
2022-07-01,1.438
2022-08-01,1.438
2022-09-01,1.441
2022-10-01,1.486
2022-11-01,1.461
2022-12-01,1.429
2022-01-01,1.5
2022-02-01,1.655
2022-03-01,1.734
2022-04-01,1.633
2022-05-01,1.539
2022-06-01,1.533
2022-07-01,1.554
2022-08-01,1.661
2022-09-01,1.721
2022-10-01,1.606
2022-11-01,1.555
2022-12-01,1.522
2022-01-01,1.614
2022-02-01,1.69
2022-03-01,1.778
2022-04-01,1.839
2022-05-01,2.023
2022-06-01,2.013
2022-07-01,1.954
2022-08-01,1.92
2022-09-01,1.912
2022-10-01,2.042
2022-11-01,2.023
2022-12-01,1.887
2022-01-01,1.875
2022-02-01,1.953
2022-03-01,2.12
2022-04-01,2.285
2022-05-01,2.205
2022-06-01,2.198
2022-07-01,2.333
2022-08-01,2.529
2022-09-01,2.951
2022-10-01,2.765
2022-11-01,2.303
2022-12-01,2.229
2022-01-01,2.36
2022-02-01,2.326
2022-03-01,2.468
2022-04-01,2.787
2022-05-01,2.953
2022-06-01,2.93
2022-07-01,3.025
2022-08-01,2.999
2022-09-01,2.606
2022-10-01,2.293
2022-11-01,2.275
2022-12-01,2.359
2022-01-01,2.289
2022-02-01,2.323
2022-03-01,2.609
2022-04-01,2.891
2022-05-01,3.187
2022-06-01,3.102
2022-07-01,3.011
2022-08-01,2.834
2022-09-01,2.849
2022-10-01,2.853
2022-11-01,3.128
2022-12-01,3.07
2022-01-01,3.095
2022-02-01,3.078
2022-03-01,3.293
2022-04-01,3.507
2022-05-01,3.815
2022-06-01,4.105
2022-07-01,4.114
2022-08-01,3.833
2022-09-01,3.756
2022-10-01,3.112
2022-11-01,2.208
2022-12-01,1.745
2022-01-01,1.84
2022-02-01,1.975
2022-03-01,2.011
2022-04-01,2.102
2022-05-01,2.316
2022-06-01,2.681
2022-07-01,2.582
2022-08-01,2.67
2022-09-01,2.609
2022-10-01,2.605
2022-11-01,2.706
2022-12-01,2.663
2022-01-01,2.769
2022-02-01,2.699
2022-03-01,2.824
2022-04-01,2.9
2022-05-01,2.89
2022-06-01,2.785
2022-07-01,2.782
2022-08-01,2.783
2022-09-01,2.757
2022-10-01,2.853
2022-11-01,2.913
2022-12-01,3.048
2022-01-01,3.148
2022-02-01,3.264
2022-03-01,3.615
2022-04-01,3.852
2022-05-01,3.96
2022-06-01,3.735
2022-07-01,3.705
2022-08-01,3.696
2022-09-01,3.667
2022-10-01,3.506
2022-11-01,3.443
2022-12-01,3.326
2022-01-01,3.44
2022-02-01,3.64
2022-03-01,3.907
2022-04-01,3.958
2022-05-01,3.791
2022-06-01,3.596
2022-07-01,3.498
2022-08-01,3.78
2022-09-01,3.91
2022-10-01,3.812
2022-11-01,3.521
2022-12-01,3.381
2022-01-01,3.391
2022-02-01,3.736
2022-03-01,3.779
2022-04-01,3.638
2022-05-01,3.675
2022-06-01,3.689
2022-07-01,3.661
2022-08-01,3.645
2022-09-01,3.604
2022-10-01,3.42
2022-11-01,3.322
2022-12-01,3.357
2022-01-01,3.392
2022-02-01,3.434
2022-03-01,3.606
2022-04-01,3.735
2022-05-01,3.75
2022-06-01,3.766
2022-07-01,3.688
2022-08-01,3.565
2022-09-01,3.484
2022-10-01,3.255
2022-11-01,2.997
2022-12-01,2.632
2022-01-01,2.208
2022-02-01,2.301
2022-03-01,2.546
2022-04-01,2.555
2022-05-01,2.802
2022-06-01,2.885
2022-07-01,2.88
2022-08-01,2.726
2022-09-01,2.462
2022-10-01,2.387
2022-11-01,2.26
2022-12-01,2.144
2022-01-01,2.057
2022-02-01,1.872
2022-03-01,2.071
2022-04-01,2.216
2022-05-01,2.371
2022-06-01,2.467
2022-07-01,2.345
